GeoFips,GeoName,LineCode,Description,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
8000,Colorado,1,Personal income (thousands of dollars),8362617,9447721,10654052,12056548,13774616,15431087,17007525,18707668,20868467,24074736,27637575,31661243,36453307,39978289,42963711,46893797,49555903,51506817,53456515,56556763,61188912,64843598,68683311,74703057,80924154,87187612,94759322,102202376,109974945,122328072,132644126,148098695,155918402,156031593,159330219,166624930,177818529,191699362,202598581,212101724,206437621,210454100,226144657,240349703,247068771
8000,Colorado,2,Population (persons) ,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048196,5118400,5189458,5268367
8000,Colorado,3,Per capita personal income (dollars) ,3861,4248,4625,5014,5519,6072,6576,7107,7741,8702,9700,10885,12241,13058,13711,14793,15444,15910,16395,17337,18679,19604,20278,21369,22394,23411,24763,26072,27369,29716,31387,34227,35230,34748,35182,36421,38390,40611,42174,43377,41518,41689,44183,46315,46897
8001,Adams,1,Personal income (thousands of dollars),644243,704864,798371,903021,1015818,1116779,1224897,1345690,1516182,1789735,2056772,2366547,2662732,2911989,3121888,3388198,3569578,3682495,3751365,3880422,4094950,4317818,4569738,4992838,5416679,5828525,6294824,6735060,7403658,8158120,8975135,10024659,10744837,10755820,10986279,11369411,11877109,12641474,13467767,13839557,14071066,14122431,15060869,16097968,16578475
8001,Adams,2,Population (persons) ,182656,187062,193787,203924,211825,214692,218820,224439,227864,239598,245966,247145,251341,258855,262155,264814,266973,267687,268485,266684,263401,266629,274311,284362,293995,302197,313439,323218,332462,343094,354146,366958,376443,370753,377464,384809,395146,406575,415746,424913,435700,443492,451709,460057,469193
8001,Adams,3,Per capita personal income (dollars) ,3527,3768,4120,4428,4796,5202,5598,5996,6654,7470,8362,9576,10594,11249,11909,12795,13371,13757,13972,14551,15546,16194,16659,17558,18424,19287,20083,20838,22269,23778,25343,27318,28543,29011,29106,29546,30058,31093,32394,32570,32295,31844,33342,34991,35334
8003,Alamosa,1,Personal income (thousands of dollars),28850,31566,34943,37649,41435,48656,57177,63462,67079,75980,82223,98801,106331,109488,124767,128494,135607,152854,151130,158904,179146,194846,191464,200184,227589,239952,255349,277864,281649,313403,320690,339712,352909,385365,373395,395169,418109,431467,461988,504186,510710,510188,556591,566140,581596
8003,Alamosa,2,Population (persons) ,10701,11502,11832,12239,11580,11515,12252,12073,11598,11557,11618,11870,12131,12344,12469,12846,12834,13146,13332,13712,13752,13602,13926,13790,13816,14071,14372,14367,14634,14730,14881,14954,14956,15114,15067,15217,15236,15196,15180,15300,15289,15900,16101,16123,16253
8003,Alamosa,3,Per capita personal income (dollars) ,2696,2744,2953,3076,3578,4225,4667,5257,5784,6574,7077,8324,8765,8870,10006,10003,10566,11627,11336,11589,13027,14325,13749,14517,16473,17053,17767,19340,19246,21277,21550,22717,23596,25497,24782,25969,27442,28393,30434,32953,33404,32087,34569,35114,35784
8005,Arapahoe,1,Personal income (thousands of dollars),751057,839524,984574,1153503,1360770,1556641,1781172,2025878,2322475,2772902,3292304,3916759,4613396,5192735,5658296,6286319,6819370,7159349,7523633,8002977,8815129,9501348,9991929,10734170,11528446,12472009,13362307,14517343,15249164,16980355,18617146,21062778,22412855,22062782,22171970,22769023,23888715,25582374,26224103,27495514,26296018,26573463,28771775,31015815,31832963
8005,Arapahoe,2,Population (persons) ,157055,163696,171308,184665,199083,208362,219967,230470,242501,261177,278330,297301,312603,330653,344923,357164,369021,377636,382074,382304,384980,393895,406279,420063,431731,440965,446821,454208,462681,472544,482262,491482,502393,508936,513690,518971,524466,531619,542039,552461,563161,574757,585827,595850,607070
8005,Arapahoe,3,Per capita personal income (dollars) ,4782,5129,5747,6246,6835,7471,8097,8790,9577,10617,11829,13174,14758,15704,16405,17601,18480,18958,19692,20934,22898,24122,24594,25554,26703,28283,29905,31962,32958,35934,38604,42856,44612,43351,43162,43873,45549,48122,48380,49769,46694,46234,49113,52053,52437
8007,Archuleta,1,Personal income (thousands of dollars),10064,8959,9724,10166,11320,13568,15385,19897,21646,23055,31273,33011,35707,36583,43808,48515,52734,55910,56427,58901,66187,70118,76364,87499,93029,104887,116041,131551,148597,169073,190702,208205,222257,237564,253058,269681,299637,337112,367123,385731,365593,363046,395867,416827,429993
8007,Archuleta,2,Population (persons) ,2615,2687,2490,2417,2706,2805,2966,3247,3318,3256,3509,3740,4039,4296,4538,4639,4847,4891,5005,5119,5166,5382,5557,5725,6119,6511,7098,7896,8498,9109,9510,10020,10454,10885,11089,11266,11496,11937,12262,12250,12169,12065,12015,12103,12194
8007,Archuleta,3,Per capita personal income (dollars) ,3849,3334,3905,4206,4183,4837,5187,6128,6524,7081,8912,8826,8841,8516,9654,10458,10880,11431,11274,11506,12812,13028,13742,15284,15203,16109,16348,16660,17486,18561,20053,20779,21260,21825,22821,23938,26064,28241,29940,31488,30043,30091,32948,34440,35263
8009,Baca,1,Personal income (thousands of dollars),18210,22921,22070,24609,41207,29244,24323,29839,34195,27452,30284,37963,44905,49187,63140,67965,64155,66923,73281,77213,69991,83717,75517,77185,89187,79345,87011,93164,98249,113892,120327,113701,121173,95029,113196,110075,118844,102150,126024,129353,140786,160043,189506,172560,181046
8009,Baca,2,Population (persons) ,5800,5661,5616,5739,5650,5522,5675,5726,5562,5506,5462,5397,5300,5241,5186,5112,4992,4873,4873,4828,4743,4525,4527,4489,4421,4428,4506,4616,4563,4548,4562,4501,4471,4336,4117,4064,3997,3933,3866,3806,3767,3787,3809,3761,3682
8009,Baca,3,Per capita personal income (dollars) ,3140,4049,3930,4288,7293,5296,4286,5211,6148,4986,5544,7034,8473,9385,12175,13295,12852,13733,15038,15993,14757,18501,16681,17194,20173,17919,19310,20183,21532,25042,26376,25261,27102,21916,27495,27085,29733,25973,32598,33987,37374,42261,49752,45881,49171
8011,Bent,1,Personal income (thousands of dollars),16815,19192,21743,23523,27379,28200,33299,33714,32779,37281,43572,42205,46719,48467,53142,58065,59539,61920,62556,64852,67386,71017,74633,78396,84295,85662,89446,94326,97349,106739,113395,118477,124399,116458,126317,128164,132196,130028,138351,136948,142709,148267,154379,155924,161207
8011,Bent,2,Population (persons) ,6638,6497,6525,6430,6041,6143,6393,6279,6166,5880,6005,5940,5909,5839,5998,5937,5868,5739,5588,5377,5162,5028,4928,4988,5415,5488,5579,5610,5539,5960,6049,5954,5841,5973,6166,6180,6118,6012,5715,5962,6425,6507,6305,5780,5688
8011,Bent,3,Per capita personal income (dollars) ,2533,2954,3332,3658,4532,4591,5209,5369,5316,6340,7256,7105,7906,8301,8860,9780,10146,10789,11195,12061,13054,14124,15145,15717,15567,15609,16033,16814,17575,17909,18746,19899,21298,19497,20486,20739,21608,21628,24208,22970,22212,22786,24485,26976,28342
8013,Boulder,1,Personal income (thousands of dollars),533387,593943,673474,760243,853792,966687,1092114,1224400,1411065,1657622,1932219,2187416,2522520,2781678,3041476,3394847,3551500,3721902,3948548,4259752,4672790,5002165,5308872,5877945,6344016,7076202,7456163,8054840,8749454,9659065,10602104,12208115,12334511,11502760,11692021,12187666,13200789,14142870,14714500,15211282,14119627,14514567,15526574,16639262,17042764
8013,Boulder,2,Population (persons) ,129577,133342,140808,151309,159509,166449,166670,169117,178121,183432,187125,190935,195705,200827,206440,211206,213942,215971,218024,219915,223507,226374,232846,240430,247405,254324,259520,264630,270744,277562,285901,293358,300137,279468,278768,279728,280241,284243,287428,290859,293190,296318,300506,305297,310048
8013,Boulder,3,Per capita personal income (dollars) ,4116,4454,4783,5024,5353,5808,6553,7240,7922,9037,10326,11456,12889,13851,14733,16074,16600,17233,18111,19370,20907,22097,22800,24448,25642,27824,28731,30438,32316,34800,37083,41615,41096,41159,41942,43570,47105,49756,51194,52298,48159,48983,51668,54502,54968
8014,Broomfield,1,Personal income (thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396331,1451006,1514244,1626418,1806225,2014614,2153442,2210230,2211403,2483289,2760330,2906192
8014,Broomfield,2,Population (persons) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41800,43805,44867,46313,48729,51526,53181,54789,56089,57193,58311,59471
8014,Broomfield,3,Per capita personal income (dollars) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33405,33124,33750,35118,37067,39099,40493,40341,39427,43419,47338,48867
8015,Chaffee,1,Personal income (thousands of dollars),29403,35471,39478,43152,49796,57239,65828,74019,82748,93833,109054,123694,135587,131939,127185,140772,144746,149119,150680,152943,163011,170880,183616,194676,209023,226837,255995,273689,292333,322775,353135,379045,396833,400137,417729,437865,470414,510687,555949,560148,563468,559568,599536,641200,663812
8015,Chaffee,2,Population (persons) ,10103,10273,10810,11340,11595,11747,12131,12109,12563,12567,13013,13270,13410,13337,13026,12699,12819,12671,12682,12637,12741,12696,12788,13036,13550,13930,14398,14892,15195,15431,16026,16337,16488,16844,16921,17047,17105,17087,17377,17573,17852,17805,18022,18127,18510
8015,Chaffee,3,Per capita personal income (dollars) ,2910,3453,3652,3805,4295,4873,5426,6113,6587,7467,8380,9321,10111,9893,9764,11085,11292,11769,11881,12103,12794,13459,14358,14934,15426,16284,17780,18378,19239,20917,22035,23202,24068,23755,24687,25686,27502,29887,31993,31875,31563,31428,33267,35373,35862
8017,Cheyenne,1,Personal income (thousands of dollars),8824,9797,11447,8971,15435,17649,16037,14222,15573,15288,14467,20344,24692,34249,47666,39229,44340,45212,36452,41468,38900,44995,41749,45875,53141,47569,61626,47100,54847,67507,79252,65560,75902,58264,74570,70177,69847,55773,82923,74404,79910,105423,109231,105607,107978
8017,Cheyenne,2,Population (persons) ,2433,2398,2418,2276,2301,2305,2244,2230,2064,2122,2174,2167,2220,2279,2302,2387,2379,2377,2288,2340,2402,2395,2377,2450,2348,2316,2304,2313,2261,2334,2255,2209,2179,2119,2021,1981,1939,1912,1863,1881,1843,1835,1870,1881,1890
8017,Cheyenne,3,Per capita personal income (dollars) ,3627,4085,4734,3942,6708,7657,7147,6378,7545,7205,6655,9388,11123,15028,20706,16434,18638,19021,15932,17721,16195,18787,17564,18724,22632,20539,26747,20363,24258,28923,35145,29679,34833,27496,36898,35425,36022,29170,44510,39556,43359,57451,58412,56144,57131
8019,Clear Creek,1,Personal income (thousands of dollars),20060,22454,28250,33081,26666,30690,35253,45392,55856,69900,78685,91632,100417,102130,96504,109071,115090,119172,124676,124921,133188,142320,151148,172004,182849,192556,209522,228968,254256,282155,303696,332627,365574,400092,421386,437505,458566,486408,479779,505237,482241,482197,505184,530608,541593
8019,Clear Creek,2,Population (persons) ,4681,4977,5739,5911,5747,5754,6058,6195,6202,6595,6986,7350,7504,7655,7913,7800,7793,7762,7741,7666,7567,7632,7852,8038,8292,8571,8808,8800,8981,9122,9293,9255,9383,9514,9402,9148,9150,9042,9152,9138,8994,9103,9050,9060,9031
8019,Clear Creek,3,Per capita personal income (dollars) ,4285,4512,4922,5597,4640,5334,5819,7327,9006,10599,11263,12467,13382,13342,12196,13983,14768,15353,16106,16295,17601,18648,19250,21399,22051,22466,23788,26019,28310,30931,32680,35940,38961,42053,44819,47825,50117,53794,52423,55290,53618,52971,55821,58566,59970
8021,Conejos,1,Personal income (thousands of dollars),13231,16007,17222,20234,19147,23133,26175,27232,27952,30416,34659,39108,41593,42875,48189,51087,55543,53800,58701,62193,66982,74152,77761,85800,92777,96347,106266,110641,118253,124307,131608,138158,152614,148393,161414,164431,167983,171346,179802,178868,190916,192903,209294,215754,221432
8021,Conejos,2,Population (persons) ,7797,7839,7829,7867,7928,8032,8106,7920,7962,7847,7787,7764,7629,7671,7789,7743,7592,7614,7607,7567,7494,7479,7545,7506,7617,7789,7888,7995,8056,8205,8336,8401,8350,8358,8310,8353,8337,8256,8217,8200,8140,8278,8308,8275,8277
8021,Conejos,3,Per capita personal income (dollars) ,1697,2042,2200,2572,2415,2880,3229,3438,3511,3876,4451,5037,5452,5589,6187,6598,7316,7066,7717,8219,8938,9915,10306,11431,12180,12370,13472,13839,14679,15150,15788,16445,18277,17755,19424,19685,20149,20754,21882,21813,23454,23303,25192,26073,26753
8023,Costilla,1,Personal income (thousands of dollars),5119,5679,6034,7245,7901,8729,9998,11125,11704,14093,15938,19439,21837,21881,28948,32272,32773,29516,28808,31144,32508,38255,40883,44658,48406,50238,54766,58547,58386,63057,68411,71294,77042,80341,78247,79594,83704,86402,88742,94136,97308,93862,104727,107831,115088
8023,Costilla,2,Population (persons) ,3081,3074,3064,3238,3208,3113,3142,3120,3173,3238,3151,3067,3045,3131,3217,3360,3320,3228,3217,3217,3215,3183,3262,3202,3225,3286,3399,3576,3605,3644,3601,3675,3619,3639,3645,3656,3562,3571,3567,3532,3481,3528,3641,3593,3518
8023,Costilla,3,Per capita personal income (dollars) ,1661,1847,1969,2237,2463,2804,3182,3566,3689,4352,5058,6338,7171,6989,8998,9605,9871,9144,8955,9681,10111,12019,12533,13947,15010,15288,16112,16372,16196,17304,18998,19400,21288,22078,21467,21771,23499,24195,24879,26652,27954,26605,28763,30011,32714
8025,Crowley,1,Personal income (thousands of dollars),8205,9883,11133,13828,20499,17015,22616,23279,21160,19558,20402,28630,33985,24933,21666,27810,28686,31405,33614,37858,42246,46399,44295,49496,51000,51588,57093,61076,73777,74420,81860,89005,97039,79632,80456,82845,91342,88637,90702,96764,91188,93672,100496,106658,107738
8025,Crowley,2,Population (persons) ,3164,3090,3108,3232,3266,3336,3336,3201,3157,2928,2817,2990,2992,3006,3102,3068,3056,3056,3014,3999,4054,3946,4072,4153,4327,4508,4642,4936,4997,5128,5336,5509,5614,5666,5464,5720,5677,5886,6015,5947,5797,5846,5803,5376,5322
8025,Crowley,3,Per capita personal income (dollars) ,2593,3198,3582,4278,6276,5100,6779,7272,6703,6680,7242,9575,11359,8294,6985,9065,9387,10277,11153,9467,10421,11758,10878,11918,11786,11444,12299,12374,14764,14512,15341,16156,17285,14054,14725,14483,16090,15059,15079,16271,15730,16023,17318,19840,20244
8027,Custer,1,Personal income (thousands of dollars),3751,4050,4667,5629,7187,6954,8372,8210,8760,9911,12979,15463,16920,17236,18177,19732,20747,21426,24239,26322,28508,29488,31710,34589,40511,44601,50449,55578,63500,70418,74472,80868,92272,96384,106018,114784,114487,122425,131429,135856,139896,136310,151235,158218,162376
8027,Custer,2,Population (persons) ,1102,1136,1194,1256,1132,1129,1141,1181,1240,1428,1550,1534,1558,1629,1789,1868,1850,1856,1803,1833,1848,1942,2004,2098,2207,2454,2702,2960,3195,3306,3455,3523,3664,3714,3865,3911,3989,3994,4112,4107,4190,4278,4225,4245,4285
8027,Custer,3,Per capita personal income (dollars) ,3404,3565,3909,4482,6349,6159,7337,6952,7065,6940,8374,10080,10860,10581,10160,10563,11215,11544,13444,14360,15426,15184,15823,16487,18356,18175,18671,18776,19875,21300,21555,22954,25183,25952,27430,29349,28701,30652,31962,33079,33388,31863,35795,37272,37894
8029,Delta,1,Personal income (thousands of dollars),46228,48232,54666,58797,71020,75363,88677,100105,109501,121263,142028,167760,197435,207939,224555,233815,234023,222658,229955,241239,255462,272768,291497,327973,362889,391090,423751,449297,494806,540307,569856,620679,637428,653897,673933,701904,753947,815322,903259,929000,907506,903054,987172,1038605,1057181
8029,Delta,2,Population (persons) ,15606,15295,15408,15911,16096,16612,17612,18817,19379,19747,20690,21467,22384,23414,23494,23493,23092,22238,21149,20943,20858,21053,21703,22284,23235,24366,25249,25764,26177,26970,27586,27877,28069,28677,28929,29305,29389,29789,30121,30712,31156,30868,30366,30422,30483
8029,Delta,3,Per capita personal income (dollars) ,2962,3153,3548,3695,4412,4537,5035,5320,5650,6141,6865,7815,8820,8881,9558,9953,10134,10013,10873,11519,12248,12956,13431,14718,15618,16051,16783,17439,18902,20034,20657,22265,22709,22802,23296,23952,25654,27370,29988,30249,29128,29255,32509,34140,34681
8031,Denver,1,Personal income (thousands of dollars),2246643,2529679,2817764,3081630,3387906,3668932,3924758,4213605,4600473,5116686,5606640,6162287,6947309,7615743,8037793,8608729,8956323,9074507,9165882,9515848,10339485,10735125,11002243,11844598,12609105,13257300,14375363,15289676,16197507,18087131,19400716,21691392,22576060,22659923,22903793,23641361,25339502,27916138,28415004,30585158,29098426,30394421,33468531,35875873,36999486
8031,Denver,2,Population (persons) ,511251,515561,525571,525836,525265,514664,500603,501147,498719,495186,495168,494235,499024,504576,511007,505507,504439,500090,492049,479719,472678,468139,478352,495279,508388,512684,518958,527643,536678,540893,548848,555651,561976,556790,552588,550756,551691,556895,564395,575721,589011,603421,620018,634542,649495
8031,Denver,3,Per capita personal income (dollars) ,4394,4907,5361,5860,6450,7129,7840,8408,9225,10333,11323,12468,13922,15093,15729,17030,17755,18146,18628,19836,21874,22931,23000,23915,24802,25859,27700,28977,30181,33439,35348,39038,40173,40697,41448,42925,45931,50128,50346,53125,49402,50370,53980,56538,56967
8033,Dolores,1,Personal income (thousands of dollars),4709,3819,4793,5148,8405,8752,9733,8567,9759,10104,12792,14764,17767,17429,19319,21468,21121,18384,20591,23387,23780,21470,21452,25196,26420,27558,29293,29409,34104,37155,40364,38653,42628,40096,44160,45882,49701,51592,56944,54653,52432,54324,58063,60100,65146
8033,Dolores,2,Population (persons) ,1532,1633,1591,1562,1564,1442,1595,1574,1476,1516,1514,1661,1674,1669,1767,1703,1585,1591,1516,1524,1481,1505,1401,1383,1422,1506,1583,1642,1680,1782,1824,1847,1849,1870,1842,1850,1869,1973,1980,2061,2057,2061,2028,1995,2029
8033,Dolores,3,Per capita personal income (dollars) ,3074,2339,3013,3296,5374,6069,6102,5443,6612,6665,8449,8889,10614,10443,10933,12606,13326,11555,13582,15346,16057,14266,15312,18218,18579,18299,18505,17910,20300,20850,22129,20927,23055,21442,23974,24801,26592,26149,28760,26518,25490,26358,28631,30125,32107
8035,Douglas,1,Personal income (thousands of dollars),38681,45424,53479,64591,82203,98891,117409,137756,167727,224038,286603,365212,457465,553442,645417,766625,876029,970910,1066967,1189604,1347502,1547003,2030169,2389354,2906995,3396114,4053349,4573155,5167769,5879895,6800991,8046152,8753888,8582929,9051784,10087560,11801101,13643084,15561131,16923673,17883884,18607809,20769395,22384309,23175877
8035,Douglas,2,Population (persons) ,7918,8629,9424,10439,11750,13119,14778,15884,17723,20759,23091,25619,27421,29829,32469,35697,38847,42300,46882,51304,55531,61670,67060,73707,81429,89796,101937,114690,130505,146164,162866,180121,196783,208911,220352,232508,243112,256136,267177,275500,281386,286909,292393,298417,305963
8035,Douglas,3,Per capita personal income (dollars) ,4885,5264,5675,6187,6996,7538,7945,8673,9464,10792,12412,14256,16683,18554,19878,21476,22551,22953,22759,23187,24266,25085,30274,32417,35700,37820,39763,39874,39598,40228,41758,44671,44485,41084,41079,43386,48542,53265,58243,61429,63556,64856,71032,75010,75747
8037,Eagle,1,Personal income (thousands of dollars),25466,29097,32258,38920,48681,56013,66835,82711,94564,113778,147297,177111,205901,231891,242023,276086,288469,296485,317465,367952,429033,488102,537177,650596,718817,788792,916048,1023183,1188094,1356391,1460994,1640307,1766515,1752417,1847816,1987824,2166951,2422855,2549422,2674156,2398878,2332230,2427108,2556228,2644828
8037,Eagle,2,Population (persons) ,7015,7681,8519,8857,9561,10327,10692,11860,12577,12131,13289,13486,14120,15822,16585,16878,17496,18165,18426,19434,20783,22297,23941,25516,27315,29476,31595,33415,35879,38434,40443,41961,43238,44227,44995,45893,47205,48476,49803,51049,52513,52092,51768,51921,52460
8037,Eagle,3,Per capita personal income (dollars) ,3630,3788,3787,4394,5092,5424,6251,6974,7519,9379,11084,13133,14582,14656,14593,16358,16488,16322,17229,18933,20643,21891,22438,25498,26316,26760,28993,30620,33114,35291,36125,39091,40856,39623,41067,43314,45905,49981,51190,52384,45682,44771,46884,49233,50416
8039,Elbert,1,Personal income (thousands of dollars),13983,13907,14336,18741,22829,25588,30819,32435,40668,48342,57510,72321,81084,93422,106246,120834,128618,133780,144557,153471,160396,172232,188300,220729,260275,307088,351579,404063,431086,494982,561377,653908,696478,711800,736162,798607,840206,879079,952603,999902,1007281,972777,1087649,1130798,1154486
